bin,P_range,n,mean_predicted,observed_induction_rate
1,0.091-0.259,37,0.19219188683572583,0.16216216216216217
2,0.263-0.368,36,0.3203671703463848,0.08333333333333333
3,0.378-0.483,37,0.43465245423469534,0.4864864864864865
4,0.484-0.632,36,0.5568748795921534,0.6388888888888888
5,0.640-0.874,37,0.7346141469414398,0.8648648648648649
