SPECIES,y,P_oof_mean,P_oof_sd_across_repeats
Rhinacanthus nasutus ,1,0.3813,0.0257
Platycodon grandiflorum,0,0.3113,0.0203
 Vitex peduncularis,1,0.713,0.0297
Oenothera laciniata,0,0.3656,0.0205
Oenothera biennis L,0,0.1046,0.0297
Cnidium officinale Makino,0,0.119,0.0193
Selaginella sellowii ,1,0.7394,0.0212
Piper aduncum,0,0.463,0.0209
Lonicera japonica Thunb,0,0.1891,0.0152
Panax ginseng ,0,0.3378,0.0407
Camellia sinensis,1,0.207,0.0264
Aesculus hippocastanum L,1,0.5247,0.0338
Murraya koenigii,1,0.5186,0.025
Curcuma phaeocaulis,0,0.207,0.016
Curcuma kwangsiensis,0,0.1543,0.0147
Smilax glabra,1,0.3812,0.0376
Solidago microglossa,0,0.3157,0.0273
Thuya occidentalis_Bryonia alba_Aconitum napellus ,1,0.5373,0.0377
Periploca laevigata,0,0.3333,0.0252
Rhus tripartitum,0,0.5213,0.0242
Scutellaria barbata,0,0.2358,0.0156
Eupatorium adenophorum,1,0.5131,0.0316
Centipeda minima,0,0.1419,0.0109
Piper nigrum,1,0.835,0.0143
Peschiera australis ,1,0.7935,0.0259
Baccharis uncinella,1,0.4709,0.0232
Ziziphus spina-christi,1,0.4328,0.0241
Pistacia khinjuk,1,0.5765,0.0204
Pistacia khinjuk,0,0.6275,0.0259
 Casearia arborea,1,0.2421,0.0353
BURSERA APTERA,1,0.7465,0.0401
Pinus elliottii,1,0.5724,0.0325
Cytisus villosus Pourr.,0,0.3311,0.0231
Eugenia piauhiensis,1,0.2484,0.0258
Nectandra leucantha,0,0.5662,0.0248
Lophatherum gracile ,0,0.2051,0.0278
Panax notoginseng,1,0.3776,0.0352
Ligustrum purpurascens ,1,0.4729,0.0376
Pedilanthus tithymaloides,0,0.4646,0.0404
Rhodiola rosea,0,0.3386,0.0302
Kielmeyera membranacea,0,0.4112,0.0319
Solanum lycocarpum,1,0.6541,0.0217
Panax quinquefolius L,1,0.3938,0.0472
