Embedding,Classifier,CV_Seed,CV_F1_OptT,Opt_Threshold,Best_Params
all-mpnet-base-v2,Random Forest,456,0.7294420555290121,0.45,"{'n_estimators': 100, 'max_depth': 3, 'min_samples_split': 5, 'min_samples_leaf': 1}"
all-mpnet-base-v2,Random Forest,789,0.7008237439476828,0.4,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4}"
all-mpnet-base-v2,Random Forest,2024,0.7043255295429208,0.43,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 4}"
all-mpnet-base-v2,SVM-RBF,42,0.7206955496610669,0.4,"{'C': 1, 'gamma': 0.001}"
all-mpnet-base-v2,SVM-RBF,123,0.6854497354497355,0.39,"{'C': 100, 'gamma': 'scale'}"
all-mpnet-base-v2,SVM-RBF,456,0.752248875562219,0.39,"{'C': 1, 'gamma': 0.001}"
all-mpnet-base-v2,SVM-RBF,789,0.6940966010733453,0.48,"{'C': 0.1, 'gamma': 'scale'}"
all-mpnet-base-v2,SVM-RBF,2024,0.7218560368277882,0.35,"{'C': 1, 'gamma': 'scale'}"
all-mpnet-base-v2,SVM-Linear,42,0.7034206103973545,0.4,{'C': 0.001}
all-mpnet-base-v2,SVM-Linear,123,0.6891902899967416,0.37,{'C': 0.001}
all-mpnet-base-v2,SVM-Linear,456,0.7355239430975757,0.38,{'C': 0.001}
all-mpnet-base-v2,SVM-Linear,789,0.6842424242424242,0.46,{'C': 0.01}
all-mpnet-base-v2,SVM-Linear,2024,0.7004240422959636,0.31,{'C': 0.001}
all-mpnet-base-v2,XGBoost,42,0.724001422306507,0.17,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 0.8}"
all-mpnet-base-v2,XGBoost,123,0.717948717948718,0.44,"{'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8}"
all-mpnet-base-v2,XGBoost,456,0.737239504681365,0.39,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0}"
all-mpnet-base-v2,XGBoost,789,0.7002977291545549,0.17,"{'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0}"
all-mpnet-base-v2,XGBoost,2024,0.6907082521117608,0.13,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}"
